CharacterName,Variant,AvatarCode,SkinTone,HairStyle,Wardrobe,Environment,Lighting,Camera,Expression,SafetyBlock,PromptV1,approved_flag,usage_tags
Nadia,Café 06,BOS_F_NADIA_06,Light-medium,Medium tidy,Café casual,Coffee shop interior,Soft warm,Waist-up,Relaxed neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Nadia, Code: BOS_F_NADIA_06. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Café Lifestyle. Styling: Café casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Relaxed neutral. Pose: Relaxed, natural. Environment: Coffee shop interior, Soft warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Nadia,Mall 07,BOS_F_NADIA_07,Light-medium,Medium tidy,Shopping casual,Mall interior,Balanced commercial,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Nadia, Code: BOS_F_NADIA_07. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Mall Lifestyle. Styling: Shopping casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Mall interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Nadia,Studio 08,BOS_F_NADIA_08,Light-medium,Medium tidy,Neutral studio wear,Plain neutral backdrop,Balanced studio,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Nadia, Code: BOS_F_NADIA_08. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Studio Presenter. Styling: Neutral studio wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Plain neutral backdrop, Balanced studio lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|studio
Nadia,Travel 09,BOS_F_NADIA_09,Light-medium,Medium tidy,Travel casual,Airport interior,Soft natural,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Nadia, Code: BOS_F_NADIA_09. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Travel Lifestyle. Styling: Travel casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Airport interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Nadia,Night 10,BOS_F_NADIA_10,Light-medium,Medium tidy,Night casual,City street night,Soft ambient,Waist-up,Calm confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Nadia, Code: BOS_F_NADIA_10. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Night Lifestyle. Styling: Night casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm confident. Pose: Relaxed, natural. Environment: City street night, Soft ambient lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Office 01,BOS_F_JULIA_01,Tan SEA,Medium tidy,Smart office wear,Modern office interior,Balanced commercial,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_01. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Office Lifestyle. Styling: Smart office wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Modern office interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|office
Julia,Home 02,BOS_F_JULIA_02,Tan SEA,Medium tidy,Home casual wear,Living room interior,Soft natural,Waist-up,Calm relaxed,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_02. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Home Lifestyle. Styling: Home casual wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm relaxed. Pose: Relaxed, natural. Environment: Living room interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|home
Julia,Jogging 03,BOS_F_JULIA_03,Tan SEA,Tied-back sporty,Modest sportswear,Jogging park,Soft outdoor,Waist-up,Confident neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_03. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Active Lifestyle. Styling: Modest sportswear. Hair: Tied-back sporty. Skin tone: Tan SEA. Expression: Confident neutral. Pose: Relaxed, natural. Environment: Jogging park, Soft outdoor lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Campus 04,BOS_F_JULIA_04,Tan SEA,Medium tidy,Campus casual,University hallway,Soft natural,Waist-up,Friendly neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_04. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Campus Lifestyle. Styling: Campus casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Friendly neutral. Pose: Relaxed, natural. Environment: University hallway, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Kenduri 05,BOS_F_JULIA_05,Tan SEA,Medium tidy,Modern baju kurung,Event hall,Balanced warm,Waist-up,Calm polite,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_05. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Event Lifestyle. Styling: Modern baju kurung. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm polite. Pose: Relaxed, natural. Environment: Event hall, Balanced warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|event
Julia,Café 06,BOS_F_JULIA_06,Tan SEA,Medium tidy,Café casual,Coffee shop interior,Soft warm,Waist-up,Relaxed neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_06. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Café Lifestyle. Styling: Café casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Relaxed neutral. Pose: Relaxed, natural. Environment: Coffee shop interior, Soft warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Mall 07,BOS_F_JULIA_07,Tan SEA,Medium tidy,Shopping casual,Mall interior,Balanced commercial,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_07. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Mall Lifestyle. Styling: Shopping casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Mall interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Studio 08,BOS_F_JULIA_08,Tan SEA,Medium tidy,Neutral studio wear,Plain neutral backdrop,Balanced studio,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_08. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Studio Presenter. Styling: Neutral studio wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Plain neutral backdrop, Balanced studio lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|studio
Julia,Travel 09,BOS_F_JULIA_09,Tan SEA,Medium tidy,Travel casual,Airport interior,Soft natural,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_09. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Travel Lifestyle. Styling: Travel casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Airport interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Julia,Night 10,BOS_F_JULIA_10,Tan SEA,Medium tidy,Night casual,City street night,Soft ambient,Waist-up,Calm confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Julia, Code: BOS_F_JULIA_10. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Night Lifestyle. Styling: Night casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm confident. Pose: Relaxed, natural. Environment: City street night, Soft ambient lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Office 01,BOS_F_AMIRA_01,Light-medium,Medium tidy,Smart office wear,Modern office interior,Balanced commercial,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_01. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Office Lifestyle. Styling: Smart office wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Modern office interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|office
Amira,Home 02,BOS_F_AMIRA_02,Light-medium,Medium tidy,Home casual wear,Living room interior,Soft natural,Waist-up,Calm relaxed,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_02. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Home Lifestyle. Styling: Home casual wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm relaxed. Pose: Relaxed, natural. Environment: Living room interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|home
Amira,Jogging 03,BOS_F_AMIRA_03,Light-medium,Tied-back sporty,Modest sportswear,Jogging park,Soft outdoor,Waist-up,Confident neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_03. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Active Lifestyle. Styling: Modest sportswear. Hair: Tied-back sporty. Skin tone: Light-medium. Expression: Confident neutral. Pose: Relaxed, natural. Environment: Jogging park, Soft outdoor lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Campus 04,BOS_F_AMIRA_04,Light-medium,Medium tidy,Campus casual,University hallway,Soft natural,Waist-up,Friendly neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_04. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Campus Lifestyle. Styling: Campus casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Friendly neutral. Pose: Relaxed, natural. Environment: University hallway, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Kenduri 05,BOS_F_AMIRA_05,Light-medium,Medium tidy,Modern baju kurung,Event hall,Balanced warm,Waist-up,Calm polite,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_05. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Event Lifestyle. Styling: Modern baju kurung. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm polite. Pose: Relaxed, natural. Environment: Event hall, Balanced warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|event
Amira,Café 06,BOS_F_AMIRA_06,Light-medium,Medium tidy,Café casual,Coffee shop interior,Soft warm,Waist-up,Relaxed neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_06. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Café Lifestyle. Styling: Café casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Relaxed neutral. Pose: Relaxed, natural. Environment: Coffee shop interior, Soft warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Mall 07,BOS_F_AMIRA_07,Light-medium,Medium tidy,Shopping casual,Mall interior,Balanced commercial,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_07. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Mall Lifestyle. Styling: Shopping casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Mall interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Studio 08,BOS_F_AMIRA_08,Light-medium,Medium tidy,Neutral studio wear,Plain neutral backdrop,Balanced studio,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_08. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Studio Presenter. Styling: Neutral studio wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Plain neutral backdrop, Balanced studio lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|studio
Amira,Travel 09,BOS_F_AMIRA_09,Light-medium,Medium tidy,Travel casual,Airport interior,Soft natural,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_09. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Travel Lifestyle. Styling: Travel casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Airport interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Amira,Night 10,BOS_F_AMIRA_10,Light-medium,Medium tidy,Night casual,City street night,Soft ambient,Waist-up,Calm confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Amira, Code: BOS_F_AMIRA_10. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Night Lifestyle. Styling: Night casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm confident. Pose: Relaxed, natural. Environment: City street night, Soft ambient lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Office 01,BOS_F_BELLA_01,Tan SEA,Medium tidy,Smart office wear,Modern office interior,Balanced commercial,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_01. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Office Lifestyle. Styling: Smart office wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Modern office interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|office
Bella,Home 02,BOS_F_BELLA_02,Tan SEA,Medium tidy,Home casual wear,Living room interior,Soft natural,Waist-up,Calm relaxed,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_02. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Home Lifestyle. Styling: Home casual wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm relaxed. Pose: Relaxed, natural. Environment: Living room interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|home
Bella,Jogging 03,BOS_F_BELLA_03,Tan SEA,Tied-back sporty,Modest sportswear,Jogging park,Soft outdoor,Waist-up,Confident neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_03. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Active Lifestyle. Styling: Modest sportswear. Hair: Tied-back sporty. Skin tone: Tan SEA. Expression: Confident neutral. Pose: Relaxed, natural. Environment: Jogging park, Soft outdoor lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Campus 04,BOS_F_BELLA_04,Tan SEA,Medium tidy,Campus casual,University hallway,Soft natural,Waist-up,Friendly neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_04. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Campus Lifestyle. Styling: Campus casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Friendly neutral. Pose: Relaxed, natural. Environment: University hallway, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Kenduri 05,BOS_F_BELLA_05,Tan SEA,Medium tidy,Modern baju kurung,Event hall,Balanced warm,Waist-up,Calm polite,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_05. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Event Lifestyle. Styling: Modern baju kurung. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm polite. Pose: Relaxed, natural. Environment: Event hall, Balanced warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|event
Bella,Café 06,BOS_F_BELLA_06,Tan SEA,Medium tidy,Café casual,Coffee shop interior,Soft warm,Waist-up,Relaxed neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_06. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Café Lifestyle. Styling: Café casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Relaxed neutral. Pose: Relaxed, natural. Environment: Coffee shop interior, Soft warm lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Mall 07,BOS_F_BELLA_07,Tan SEA,Medium tidy,Shopping casual,Mall interior,Balanced commercial,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_07. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Mall Lifestyle. Styling: Shopping casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Mall interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Studio 08,BOS_F_BELLA_08,Tan SEA,Medium tidy,Neutral studio wear,Plain neutral backdrop,Balanced studio,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_08. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Studio Presenter. Styling: Neutral studio wear. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Plain neutral backdrop, Balanced studio lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|studio
Bella,Travel 09,BOS_F_BELLA_09,Tan SEA,Medium tidy,Travel casual,Airport interior,Soft natural,Waist-up,Neutral confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_09. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Travel Lifestyle. Styling: Travel casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Neutral confident. Pose: Relaxed, natural. Environment: Airport interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Bella,Night 10,BOS_F_BELLA_10,Tan SEA,Medium tidy,Night casual,City street night,Soft ambient,Waist-up,Calm confident,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Bella, Code: BOS_F_BELLA_10. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Night Lifestyle. Styling: Night casual. Hair: Medium tidy. Skin tone: Tan SEA. Expression: Calm confident. Pose: Relaxed, natural. Environment: City street night, Soft ambient lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Dina,Office 01,BOS_F_DINA_01,Light-medium,Medium tidy,Smart office wear,Modern office interior,Balanced commercial,Waist-up,Calm neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Dina, Code: BOS_F_DINA_01. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Office Lifestyle. Styling: Smart office wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm neutral. Pose: Relaxed, natural. Environment: Modern office interior, Balanced commercial lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|office
Dina,Home 02,BOS_F_DINA_02,Light-medium,Medium tidy,Home casual wear,Living room interior,Soft natural,Waist-up,Calm relaxed,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Dina, Code: BOS_F_DINA_02. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Home Lifestyle. Styling: Home casual wear. Hair: Medium tidy. Skin tone: Light-medium. Expression: Calm relaxed. Pose: Relaxed, natural. Environment: Living room interior, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC|home
Dina,Jogging 03,BOS_F_DINA_03,Light-medium,Tied-back sporty,Modest sportswear,Jogging park,Soft outdoor,Waist-up,Confident neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Dina, Code: BOS_F_DINA_03. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Active Lifestyle. Styling: Modest sportswear. Hair: Tied-back sporty. Skin tone: Light-medium. Expression: Confident neutral. Pose: Relaxed, natural. Environment: Jogging park, Soft outdoor lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
Dina,Campus 04,BOS_F_DINA_04,Light-medium,Medium tidy,Campus casual,University hallway,Soft natural,Waist-up,Friendly neutral,STANDARD_SAFETY_BLOCK,"Create a photorealistic avatar reference image. Identity: Dina, Code: BOS_F_DINA_04. Demographic: Female, Young Adult, Malay/SEA market fit. Role: Campus Lifestyle. Styling: Campus casual. Hair: Medium tidy. Skin tone: Light-medium. Expression: Friendly neutral. Pose: Relaxed, natural. Environment: University hallway, Soft natural lighting. Camera framing: Waist-up, clear face. Safety: Do not generate nudity, sexual content, gore, violence, hate symbols, illegal activity, or any harmful or unsafe depiction. Keep the character fully clothed, respectful, and suitable for general audience and commercial use.",TRUE,UGC
